feature,hit_mean,miss_mean,delta,ratio
pct_chg,5.75911,-0.01459,5.7737,-394.684
vol_ratio_5,1.5413,1.06106,0.48024,1.453
vol_ratio_10,1.70947,1.05674,0.65272,1.618
amplitude_pct,5.93936,3.57674,2.36262,1.661
pos_ma20,0.12565,-0.00041,0.12606,-302.877
pos_ma60,0.16455,0.0008,0.16375,205.015
dist_high60,-0.07985,-0.1563,0.07645,0.511
dist_low60,0.44441,0.18714,0.25727,2.375
amount_yi,5.21545,2.854,2.36144,1.827
ret_5,0.13164,0.00103,0.13061,128.203
ret_10,0.15675,0.00264,0.1541,59.338
prev_limit_up,0.18799,0.01569,0.1723,11.982
limit_streak_prev,0.35367,0.02124,0.33243,16.649
up_days_5,3.29495,2.3628,0.93214,1.395
index_ret_prev,0.01334,0.0002,0.01314,66.871
industry_mean_prev,3.48248,0.00674,3.47574,517.046
